# rock overburden grid in the detector ENU frame
# frame: x=East y=North z=Up; theta=zenith from vertical; phi=CCW azimuth from detector x-axis
# yaw_deg=0.0  (detector x-axis CCW from East)
# lat_deg=46.34249442000001  lon_deg=5.838823310000004
# detector_ecef_m=4.3758338841576995e6,447476.8376059988,4.6097685961005045e6
# rho_gcm3=2.65  max_radius_m=60000.0  max_range_m=60000.0
# n_theta=50  n_phi=180
# columns: theta_deg,phi_deg,L_m,X_gcm2  (X = rho*L*100, g/cm^2)
theta_deg,phi_deg,L_m,X_gcm2
65.5,26.0,0.0,0.0
65.5,28.0,0.0,0.0
65.5,30.0,0.0,0.0
65.5,32.0,0.0,0.0
65.5,34.0,0.0,0.0
65.5,36.0,0.0,0.0
65.5,38.0,0.0,0.0
65.5,40.0,0.0,0.0
65.5,42.0,0.0,0.0
65.5,44.0,0.0,0.0
65.5,46.0,0.0,0.0
65.5,48.0,0.0,0.0
65.5,50.0,0.0,0.0
65.5,52.0,0.0,0.0
65.5,54.0,0.0,0.0
65.5,56.0,0.0,0.0
65.5,58.0,0.0,0.0
65.5,60.0,0.0,0.0
65.5,62.0,0.0,0.0
65.5,64.0,0.0,0.0
65.5,66.0,0.0,0.0
65.5,68.0,0.0,0.0
65.5,70.0,0.0,0.0
65.5,72.0,0.0,0.0
65.5,74.0,0.0,0.0
65.5,76.0,0.0,0.0
65.5,78.0,0.0,0.0
65.5,80.0,0.0,0.0
65.5,82.0,0.0,0.0
65.5,84.0,0.0,0.0
65.5,86.0,0.0,0.0
65.5,88.0,0.0,0.0
65.5,90.0,0.0,0.0
65.5,92.0,0.0,0.0
65.5,94.0,0.0,0.0
65.5,96.0,0.0,0.0
65.5,98.0,0.0,0.0
65.5,100.0,0.0,0.0
65.5,102.0,0.0,0.0
65.5,104.0,0.0,0.0
65.5,106.0,0.0,0.0
65.5,108.0,0.0,0.0
65.5,110.0,0.0,0.0
65.5,112.0,0.0,0.0
65.5,114.0,0.0,0.0
65.5,116.0,0.0,0.0
65.5,118.0,0.0,0.0
65.5,120.0,0.0,0.0
65.5,122.0,0.0,0.0
65.5,124.0,0.0,0.0
65.5,126.0,0.0,0.0
65.5,128.0,0.0,0.0
65.5,130.0,0.0,0.0
65.5,132.0,0.0,0.0
65.5,134.0,0.0,0.0
65.5,136.0,0.0,0.0
65.5,138.0,0.0,0.0
65.5,140.0,0.0,0.0
65.5,142.0,0.0,0.0
65.5,144.0,0.0,0.0
65.5,146.0,0.0,0.0
65.5,148.0,0.0,0.0
65.5,150.0,0.0,0.0
65.5,152.0,0.0,0.0
65.5,154.0,0.0,0.0
65.5,156.0,0.0,0.0
65.5,158.0,0.0,0.0
65.5,160.0,0.0,0.0
65.5,162.0,0.0,0.0
65.5,164.0,0.0,0.0
65.5,166.0,0.0,0.0
65.5,168.0,0.0,0.0
65.5,170.0,0.0,0.0
65.5,172.0,0.0,0.0
65.5,174.0,0.0,0.0
65.5,176.0,0.0,0.0
65.5,178.0,0.0,0.0
65.5,180.0,0.0,0.0
65.5,182.0,0.0,0.0
65.5,184.0,0.0,0.0
65.5,186.0,0.0,0.0
65.5,188.0,0.0,0.0
65.5,190.0,0.0,0.0
65.5,192.0,0.0,0.0
65.5,194.0,0.0,0.0
65.5,196.0,0.0,0.0
65.5,198.0,0.0,0.0
65.5,200.0,0.0,0.0
65.5,202.0,0.0,0.0
65.5,204.0,0.0,0.0
65.5,206.0,0.0,0.0
65.5,208.0,0.0,0.0
65.5,210.0,0.0,0.0
65.5,212.0,0.0,0.0
65.5,214.0,0.0,0.0
65.5,216.0,0.0,0.0
65.5,218.0,0.0,0.0
65.5,220.0,0.0,0.0
65.5,222.0,0.0,0.0
65.5,224.0,0.0,0.0
65.5,226.0,0.0,0.0
65.5,228.0,0.0,0.0
65.5,230.0,0.0,0.0
65.5,232.0,0.0,0.0
65.5,234.0,0.0,0.0
65.5,236.0,0.0,0.0
65.5,238.0,0.0,0.0
65.5,240.0,0.0,0.0
65.5,242.0,0.0,0.0
65.5,244.0,0.0,0.0
65.5,246.0,0.0,0.0
65.5,248.0,0.0,0.0
65.5,250.0,0.0,0.0
65.5,252.0,0.0,0.0
65.5,254.0,0.0,0.0
65.5,256.0,0.0,0.0
65.5,258.0,0.0,0.0
65.5,260.0,0.0,0.0
65.5,262.0,0.0,0.0
65.5,264.0,0.0,0.0
65.5,266.0,0.0,0.0
65.5,268.0,0.0,0.0
65.5,270.0,0.0,0.0
65.5,272.0,0.0,0.0
65.5,274.0,0.0,0.0
65.5,276.0,0.0,0.0
65.5,278.0,0.0,0.0
65.5,280.0,0.0,0.0
65.5,282.0,0.0,0.0
65.5,284.0,0.0,0.0
65.5,286.0,0.0,0.0
65.5,288.0,0.0,0.0
65.5,290.0,0.0,0.0
65.5,292.0,0.0,0.0
65.5,294.0,0.0,0.0
65.5,296.0,0.0,0.0
65.5,298.0,0.0,0.0
65.5,300.0,0.0,0.0
65.5,302.0,0.0,0.0
65.5,304.0,0.0,0.0
65.5,306.0,0.0,0.0
65.5,308.0,0.0,0.0
65.5,310.0,0.0,0.0
65.5,312.0,0.0,0.0
65.5,314.0,0.0,0.0
65.5,316.0,0.0,0.0
65.5,318.0,0.0,0.0
65.5,320.0,0.0,0.0
65.5,322.0,0.0,0.0
65.5,324.0,0.0,0.0
65.5,326.0,0.0,0.0
65.5,328.0,0.0,0.0
65.5,330.0,0.0,0.0
65.5,332.0,0.0,0.0
65.5,334.0,0.0,0.0
65.5,336.0,0.0,0.0
65.5,338.0,0.0,0.0
65.5,340.0,0.0,0.0
65.5,342.0,0.0,0.0
65.5,344.0,0.0,0.0
65.5,346.0,0.0,0.0
65.5,348.0,0.0,0.0
65.5,350.0,0.0,0.0
65.5,352.0,0.0,0.0
65.5,354.0,0.0,0.0
65.5,356.0,0.0,0.0
65.5,358.0,0.0,0.0
66.0,0.0,0.0,0.0
66.0,2.0,0.0,0.0
66.0,4.0,0.0,0.0
66.0,6.0,0.0,0.0
66.0,8.0,0.0,0.0
66.0,10.0,0.0,0.0
66.0,12.0,0.0,0.0
66.0,14.0,0.0,0.0
66.0,16.0,0.0,0.0
66.0,18.0,0.0,0.0
66.0,20.0,0.0,0.0
66.0,22.0,0.0,0.0
66.0,24.0,0.0,0.0
66.0,26.0,0.0,0.0
66.0,28.0,0.0,0.0
66.0,30.0,0.0,0.0
66.0,32.0,0.0,0.0
66.0,34.0,0.0,0.0
66.0,36.0,0.0,0.0
66.0,38.0,0.0,0.0
66.0,40.0,0.0,0.0
66.0,42.0,0.0,0.0
66.0,44.0,0.0,0.0
66.0,46.0,0.0,0.0
66.0,48.0,0.0,0.0
66.0,50.0,0.0,0.0
66.0,52.0,0.0,0.0
66.0,54.0,0.0,0.0
66.0,56.0,0.0,0.0
66.0,58.0,0.0,0.0
66.0,60.0,0.0,0.0
66.0,62.0,0.0,0.0
66.0,64.0,0.0,0.0
66.0,66.0,0.0,0.0
66.0,68.0,0.0,0.0
66.0,70.0,0.0,0.0
66.0,72.0,0.0,0.0
66.0,74.0,0.0,0.0
66.0,76.0,0.0,0.0
66.0,78.0,0.0,0.0
66.0,80.0,0.0,0.0
66.0,82.0,0.0,0.0
66.0,84.0,0.0,0.0
66.0,86.0,0.0,0.0
66.0,88.0,0.0,0.0
66.0,90.0,0.0,0.0
66.0,92.0,0.0,0.0
66.0,94.0,0.0,0.0
66.0,96.0,0.0,0.0
66.0,98.0,0.0,0.0
66.0,100.0,0.0,0.0
66.0,102.0,0.0,0.0
66.0,104.0,0.0,0.0
66.0,106.0,0.0,0.0
66.0,108.0,0.0,0.0
66.0,110.0,0.0,0.0
66.0,112.0,0.0,0.0
66.0,114.0,0.0,0.0
66.0,116.0,0.0,0.0
66.0,118.0,0.0,0.0
66.0,120.0,0.0,0.0
66.0,122.0,0.0,0.0
66.0,124.0,0.0,0.0
66.0,126.0,0.0,0.0
66.0,128.0,0.0,0.0
66.0,130.0,0.0,0.0
66.0,132.0,0.0,0.0
66.0,134.0,0.0,0.0
66.0,136.0,0.0,0.0
66.0,138.0,0.0,0.0
66.0,140.0,0.0,0.0
66.0,142.0,0.0,0.0
66.0,144.0,0.0,0.0
66.0,146.0,0.0,0.0
66.0,148.0,0.0,0.0
66.0,150.0,0.0,0.0
66.0,152.0,0.0,0.0
66.0,154.0,0.0,0.0
66.0,156.0,0.0,0.0
66.0,158.0,0.0,0.0
66.0,160.0,0.0,0.0
66.0,162.0,0.0,0.0
66.0,164.0,0.0,0.0
66.0,166.0,0.0,0.0
66.0,168.0,0.0,0.0
66.0,170.0,0.0,0.0
66.0,172.0,0.0,0.0
66.0,174.0,0.0,0.0
66.0,176.0,0.0,0.0
66.0,178.0,0.0,0.0
66.0,180.0,0.0,0.0
66.0,182.0,0.0,0.0
66.0,184.0,0.0,0.0
66.0,186.0,0.0,0.0
66.0,188.0,0.0,0.0
66.0,190.0,0.0,0.0
66.0,192.0,0.0,0.0
66.0,194.0,0.0,0.0
66.0,196.0,0.0,0.0
66.0,198.0,0.0,0.0
66.0,200.0,0.0,0.0
66.0,202.0,0.0,0.0
66.0,204.0,0.0,0.0
66.0,206.0,0.0,0.0
66.0,208.0,0.0,0.0
66.0,210.0,0.0,0.0
66.0,212.0,0.0,0.0
66.0,214.0,0.0,0.0
66.0,216.0,0.0,0.0
66.0,218.0,0.0,0.0
66.0,220.0,0.0,0.0
66.0,222.0,0.0,0.0
66.0,224.0,0.0,0.0
66.0,226.0,0.0,0.0
66.0,228.0,0.0,0.0
66.0,230.0,0.0,0.0
66.0,232.0,0.0,0.0
66.0,234.0,0.0,0.0
66.0,236.0,0.0,0.0
66.0,238.0,0.0,0.0
66.0,240.0,0.0,0.0
66.0,242.0,0.0,0.0
66.0,244.0,0.0,0.0
66.0,246.0,0.0,0.0
66.0,248.0,0.0,0.0
66.0,250.0,0.0,0.0
66.0,252.0,0.0,0.0
66.0,254.0,0.0,0.0
66.0,256.0,0.0,0.0
66.0,258.0,0.0,0.0
66.0,260.0,0.0,0.0
66.0,262.0,0.0,0.0
66.0,264.0,0.0,0.0
66.0,266.0,0.0,0.0
66.0,268.0,0.0,0.0
66.0,270.0,0.0,0.0
66.0,272.0,0.0,0.0
66.0,274.0,0.0,0.0
66.0,276.0,0.0,0.0
66.0,278.0,0.0,0.0
66.0,280.0,0.0,0.0
66.0,282.0,0.0,0.0
66.0,284.0,0.0,0.0
66.0,286.0,0.0,0.0
66.0,288.0,0.0,0.0
66.0,290.0,0.0,0.0
66.0,292.0,0.0,0.0
66.0,294.0,0.0,0.0
66.0,296.0,0.0,0.0
66.0,298.0,0.0,0.0
66.0,300.0,0.0,0.0
66.0,302.0,0.0,0.0
66.0,304.0,0.0,0.0
66.0,306.0,0.0,0.0
66.0,308.0,0.0,0.0
66.0,310.0,0.0,0.0
66.0,312.0,0.0,0.0
66.0,314.0,0.0,0.0
66.0,316.0,0.0,0.0
66.0,318.0,0.0,0.0
66.0,320.0,0.0,0.0
66.0,322.0,0.0,0.0
66.0,324.0,0.0,0.0
66.0,326.0,0.0,0.0
66.0,328.0,0.0,0.0
66.0,330.0,0.0,0.0
66.0,332.0,0.0,0.0
66.0,334.0,0.0,0.0
66.0,336.0,0.0,0.0
66.0,338.0,0.0,0.0
66.0,340.0,0.0,0.0
66.0,342.0,0.0,0.0
66.0,344.0,0.0,0.0
66.0,346.0,0.0,0.0
66.0,348.0,0.0,0.0
66.0,350.0,0.0,0.0
66.0,352.0,0.0,0.0
66.0,354.0,0.0,0.0
66.0,356.0,0.0,0.0
66.0,358.0,0.0,0.0
66.5,0.0,0.0,0.0
66.5,2.0,0.0,0.0
66.5,4.0,0.0,0.0
66.5,6.0,0.0,0.0
66.5,8.0,0.0,0.0
66.5,10.0,0.0,0.0
66.5,12.0,0.0,0.0
66.5,14.0,0.0,0.0
66.5,16.0,0.0,0.0
66.5,18.0,0.0,0.0
66.5,20.0,0.0,0.0
66.5,22.0,0.0,0.0
66.5,24.0,0.0,0.0
66.5,26.0,0.0,0.0
66.5,28.0,0.0,0.0
66.5,30.0,0.0,0.0
66.5,32.0,0.0,0.0
66.5,34.0,0.0,0.0
66.5,36.0,0.0,0.0
66.5,38.0,0.0,0.0
66.5,40.0,0.0,0.0
66.5,42.0,0.0,0.0
66.5,44.0,0.0,0.0
66.5,46.0,0.0,0.0
66.5,48.0,0.0,0.0
66.5,50.0,0.0,0.0
66.5,52.0,0.0,0.0
66.5,54.0,0.0,0.0
66.5,56.0,0.0,0.0
66.5,58.0,0.0,0.0
66.5,60.0,0.0,0.0
66.5,62.0,0.0,0.0
66.5,64.0,0.0,0.0
66.5,66.0,0.0,0.0
66.5,68.0,0.0,0.0
66.5,70.0,0.0,0.0
66.5,72.0,0.0,0.0
66.5,74.0,0.0,0.0
66.5,76.0,0.0,0.0
66.5,78.0,0.0,0.0
66.5,80.0,0.0,0.0
66.5,82.0,0.0,0.0
66.5,84.0,0.0,0.0
66.5,86.0,0.0,0.0
66.5,88.0,0.0,0.0
66.5,90.0,0.0,0.0
66.5,92.0,0.0,0.0
66.5,94.0,0.0,0.0
66.5,96.0,0.0,0.0
66.5,98.0,0.0,0.0
66.5,100.0,0.0,0.0
66.5,102.0,0.0,0.0
66.5,104.0,0.0,0.0
66.5,106.0,0.0,0.0
66.5,108.0,0.0,0.0
66.5,110.0,0.0,0.0
66.5,112.0,0.0,0.0
66.5,114.0,0.0,0.0
66.5,116.0,0.0,0.0
66.5,118.0,0.0,0.0
66.5,120.0,0.0,0.0
66.5,122.0,0.0,0.0
66.5,124.0,0.0,0.0
66.5,126.0,0.0,0.0
66.5,128.0,0.0,0.0
66.5,130.0,0.0,0.0
66.5,132.0,0.0,0.0
66.5,134.0,0.0,0.0
66.5,136.0,0.0,0.0
66.5,138.0,0.0,0.0
66.5,140.0,0.0,0.0
66.5,142.0,0.0,0.0
66.5,144.0,0.0,0.0
66.5,146.0,0.0,0.0
66.5,148.0,0.0,0.0
66.5,150.0,0.0,0.0
66.5,152.0,0.0,0.0
66.5,154.0,0.0,0.0
66.5,156.0,0.0,0.0
66.5,158.0,0.0,0.0
66.5,160.0,0.0,0.0
66.5,162.0,0.0,0.0
66.5,164.0,0.0,0.0
66.5,166.0,0.0,0.0
66.5,168.0,0.0,0.0
66.5,170.0,0.0,0.0
66.5,172.0,0.0,0.0
66.5,174.0,0.0,0.0
66.5,176.0,0.0,0.0
66.5,178.0,0.0,0.0
66.5,180.0,0.0,0.0
66.5,182.0,0.0,0.0
66.5,184.0,0.0,0.0
66.5,186.0,0.0,0.0
66.5,188.0,0.0,0.0
66.5,190.0,0.0,0.0
66.5,192.0,0.0,0.0
66.5,194.0,0.0,0.0
66.5,196.0,0.0,0.0
66.5,198.0,0.0,0.0
66.5,200.0,0.0,0.0
66.5,202.0,0.0,0.0
66.5,204.0,0.0,0.0
66.5,206.0,0.0,0.0
66.5,208.0,0.0,0.0
66.5,210.0,0.0,0.0
66.5,212.0,0.0,0.0
66.5,214.0,0.0,0.0
66.5,216.0,0.0,0.0
66.5,218.0,0.0,0.0
66.5,220.0,0.0,0.0
66.5,222.0,0.0,0.0
66.5,224.0,0.0,0.0
66.5,226.0,0.0,0.0
66.5,228.0,0.0,0.0
66.5,230.0,0.0,0.0
66.5,232.0,0.0,0.0
66.5,234.0,0.0,0.0
66.5,236.0,0.0,0.0
66.5,238.0,0.0,0.0
66.5,240.0,0.0,0.0
66.5,242.0,0.0,0.0
66.5,244.0,0.0,0.0
66.5,246.0,0.0,0.0
66.5,248.0,0.0,0.0
66.5,250.0,0.0,0.0
66.5,252.0,0.0,0.0
66.5,254.0,0.0,0.0
66.5,256.0,0.0,0.0
66.5,258.0,0.0,0.0
66.5,260.0,0.0,0.0
66.5,262.0,0.0,0.0
66.5,264.0,0.0,0.0
66.5,266.0,0.0,0.0
66.5,268.0,0.0,0.0
66.5,270.0,0.0,0.0
66.5,272.0,0.0,0.0
66.5,274.0,0.0,0.0
66.5,276.0,0.0,0.0
66.5,278.0,0.0,0.0
66.5,280.0,0.0,0.0
66.5,282.0,0.0,0.0
66.5,284.0,0.0,0.0
66.5,286.0,0.0,0.0
66.5,288.0,0.0,0.0
66.5,290.0,0.0,0.0
66.5,292.0,0.0,0.0
66.5,294.0,0.0,0.0
66.5,296.0,0.0,0.0
66.5,298.0,0.0,0.0
66.5,300.0,0.0,0.0
66.5,302.0,0.0,0.0
66.5,304.0,0.0,0.0
66.5,306.0,0.0,0.0
66.5,308.0,0.0,0.0
66.5,310.0,0.0,0.0
66.5,312.0,0.0,0.0
66.5,314.0,0.0,0.0
66.5,316.0,0.0,0.0
66.5,318.0,0.0,0.0
66.5,320.0,0.0,0.0
66.5,322.0,0.0,0.0
66.5,324.0,0.0,0.0
66.5,326.0,0.0,0.0
66.5,328.0,0.0,0.0
66.5,330.0,0.0,0.0
66.5,332.0,0.0,0.0
66.5,334.0,0.0,0.0
66.5,336.0,0.0,0.0
66.5,338.0,0.0,0.0
66.5,340.0,0.0,0.0
66.5,342.0,0.0,0.0
66.5,344.0,0.0,0.0
66.5,346.0,0.0,0.0
66.5,348.0,0.0,0.0
66.5,350.0,0.0,0.0
66.5,352.0,0.0,0.0
66.5,354.0,0.0,0.0
66.5,356.0,0.0,0.0
66.5,358.0,0.0,0.0
67.0,0.0,0.0,0.0
67.0,2.0,0.0,0.0
67.0,4.0,0.0,0.0
67.0,6.0,0.0,0.0
67.0,8.0,0.0,0.0
67.0,10.0,0.0,0.0
67.0,12.0,0.0,0.0
67.0,14.0,0.0,0.0
67.0,16.0,0.0,0.0
67.0,18.0,0.0,0.0
67.0,20.0,0.0,0.0
67.0,22.0,0.0,0.0
67.0,24.0,0.0,0.0
67.0,26.0,0.0,0.0
67.0,28.0,0.0,0.0
67.0,30.0,0.0,0.0
67.0,32.0,0.0,0.0
67.0,34.0,0.0,0.0
67.0,36.0,0.0,0.0
67.0,38.0,0.0,0.0
67.0,40.0,0.0,0.0
67.0,42.0,0.0,0.0
67.0,44.0,0.0,0.0
67.0,46.0,0.0,0.0
67.0,48.0,0.0,0.0
67.0,50.0,0.0,0.0
67.0,52.0,0.0,0.0
67.0,54.0,0.0,0.0
67.0,56.0,0.0,0.0
67.0,58.0,0.0,0.0
67.0,60.0,0.0,0.0
67.0,62.0,0.0,0.0
67.0,64.0,0.0,0.0
67.0,66.0,0.0,0.0
67.0,68.0,0.0,0.0
67.0,70.0,0.0,0.0
67.0,72.0,0.0,0.0
67.0,74.0,0.0,0.0
67.0,76.0,0.0,0.0
67.0,78.0,0.0,0.0
67.0,80.0,0.0,0.0
67.0,82.0,0.0,0.0
67.0,84.0,0.0,0.0
67.0,86.0,0.0,0.0
67.0,88.0,0.0,0.0
67.0,90.0,0.0,0.0
67.0,92.0,0.0,0.0
67.0,94.0,0.0,0.0
67.0,96.0,0.0,0.0
67.0,98.0,0.0,0.0
67.0,100.0,0.0,0.0
67.0,102.0,0.0,0.0
67.0,104.0,0.0,0.0
67.0,106.0,0.0,0.0
67.0,108.0,0.0,0.0
67.0,110.0,0.0,0.0
67.0,112.0,0.0,0.0
67.0,114.0,0.0,0.0
67.0,116.0,0.0,0.0
67.0,118.0,0.0,0.0
67.0,120.0,0.0,0.0
67.0,122.0,0.0,0.0
67.0,124.0,0.0,0.0
67.0,126.0,0.0,0.0
67.0,128.0,0.0,0.0
67.0,130.0,0.0,0.0
67.0,132.0,0.0,0.0
67.0,134.0,0.0,0.0
67.0,136.0,0.0,0.0
67.0,138.0,0.0,0.0
67.0,140.0,0.0,0.0
67.0,142.0,0.0,0.0
67.0,144.0,0.0,0.0
67.0,146.0,0.0,0.0
67.0,148.0,0.0,0.0
67.0,150.0,0.0,0.0
67.0,152.0,0.0,0.0
67.0,154.0,0.0,0.0
67.0,156.0,0.0,0.0
67.0,158.0,0.0,0.0
67.0,160.0,0.0,0.0
67.0,162.0,0.0,0.0
67.0,164.0,0.0,0.0
67.0,166.0,0.0,0.0
67.0,168.0,0.0,0.0
67.0,170.0,0.0,0.0
67.0,172.0,0.0,0.0
67.0,174.0,0.0,0.0
67.0,176.0,0.0,0.0
67.0,178.0,0.0,0.0
67.0,180.0,0.0,0.0
67.0,182.0,0.0,0.0
67.0,184.0,0.0,0.0
67.0,186.0,0.0,0.0
67.0,188.0,0.0,0.0
67.0,190.0,0.0,0.0
67.0,192.0,0.0,0.0
67.0,194.0,0.0,0.0
67.0,196.0,0.0,0.0
67.0,198.0,0.0,0.0
67.0,200.0,0.0,0.0
67.0,202.0,0.0,0.0
67.0,204.0,0.0,0.0
67.0,206.0,0.0,0.0
67.0,208.0,0.0,0.0
67.0,210.0,0.0,0.0
67.0,212.0,0.0,0.0
67.0,214.0,0.0,0.0
67.0,216.0,0.0,0.0
67.0,218.0,0.0,0.0
67.0,220.0,0.0,0.0
67.0,222.0,0.0,0.0
67.0,224.0,0.0,0.0
67.0,226.0,0.0,0.0
67.0,228.0,0.0,0.0
67.0,230.0,0.0,0.0
67.0,232.0,0.0,0.0
67.0,234.0,0.0,0.0
67.0,236.0,0.0,0.0
67.0,238.0,0.0,0.0
